title_key,author_key,title,author,genre,first_year,last_year,appear_count,avg_rating,avg_reviews,max_reviews,avg_price,title_length,title_word_count,has_colon,has_number,duration,is_multi_year_bestseller,is_long_seller,has_reentry
a man called ove a novel,fredrik backman,A Man Called Ove: A Novel,Fredrik Backman,Fiction,2016,2017,2,4.6,23848.0,23848.0,8.0,25,6,1,0,2,1,0,0
the boys in the boat nine americans and their epic quest for gold at the 1936 berlin olympics,daniel james brown,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,Non Fiction,2014,2015,2,4.8,23358.0,23358.0,12.0,94,18,1,1,2,1,0,0
the book thief,markus zusak,The Book Thief,Markus Zusak,Fiction,2013,2014,2,4.6,23148.0,23148.0,6.0,14,3,0,0,2,1,0,0
burn after writing pink,sharon jones,Burn After Writing (Pink),Sharon Jones,Non Fiction,2021,2022,2,4.6,23145.5,23146.0,7.0,25,4,0,0,2,1,0,0
school zone big preschool workbook ages 4 and up colors shapes numbers 110 alphabet prewriting prereading,school zone,"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…",School Zone,Non Fiction,2018,2019,2,4.8,23047.0,23047.0,6.0,119,18,0,1,2,1,0,0
ready player one a novel,ernest cline,Ready Player One: A Novel,Ernest Cline,Fiction,2017,2018,2,4.6,22536.0,22536.0,12.0,25,5,1,0,2,1,0,0
girl wash your face stop believing the lies about who you are so you can become who you were meant to be,rachel hollis,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,Non Fiction,2018,2019,2,4.6,22288.0,22288.0,12.0,106,22,1,0,2,1,0,0
paint by sticker kids zoo animals create 10 pictures one sticker at a time,workman publishing,Paint by Sticker Kids: Zoo Animals: Create 10 Pictures One Sticker at a Time!,Workman Publishing,Non Fiction,2020,2021,2,4.8,20182.0,20182.0,8.0,77,14,1,1,2,1,0,0
love you forever,robert munsch,Love You Forever,Robert Munsch,Fiction,2014,2015,2,4.8,18613.0,18613.0,5.0,16,3,0,0,2,1,0,0
the hunger games trilogy boxed set 1,suzanne collins,The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,Fiction,2011,2012,2,4.8,16949.0,16949.0,30.0,38,7,0,1,2,1,0,0
