title_key,author_key,year,title,author,amazon_rating,amazon_reviews,price,genre,title_length,title_word_count,has_colon,has_number,review_log,review_level,rating_level
fifty shades freed book three of the fifty shades trilogy fifty shades of grey series english edition,e l james,2012,Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262.0,11.0,Fiction,106,17,1,0,9.91655184186533,high,normal
fifty shades of grey book one of the fifty shades trilogy fifty shades of grey series,e l james,2012,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265.0,14.0,Fiction,88,16,1,0,10.763546499940231,high,normal
fifty shades of grey book one of the fifty shades trilogy fifty shades of grey series,e l james,2013,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265.0,14.0,Fiction,88,16,1,0,10.763546499940231,high,normal
fifty shades trilogy fifty shades of grey fifty shades darker fifty shades freed,e l james,2012,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964.0,32.0,Fiction,86,15,0,0,9.544309478379278,middle,normal
fire and fury inside the trump white house,michael wolff,2018,Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677.0,6.0,Non Fiction,43,8,1,0,9.523543981658042,middle,normal
first 100 words,roger priddy,2014,First 100 Words,Roger Priddy,4.7,17323.0,4.0,Non Fiction,15,3,0,1,9.759848102334518,middle,high
first 100 words,roger priddy,2015,First 100 Words,Roger Priddy,4.7,17323.0,4.0,Non Fiction,15,3,0,1,9.759848102334518,middle,high
first 100 words,roger priddy,2016,First 100 Words,Roger Priddy,4.7,17323.0,4.0,Non Fiction,15,3,0,1,9.759848102334518,middle,high
first 100 words,roger priddy,2017,First 100 Words,Roger Priddy,4.7,17323.0,4.0,Non Fiction,15,3,0,1,9.759848102334518,middle,high
first 100 words,roger priddy,2018,First 100 Words,Roger Priddy,4.7,17323.0,4.0,Non Fiction,15,3,0,1,9.759848102334518,middle,high
food rules an eaters manual,michael pollan,2010,Food Rules: An Eater's Manual,Michael Pollan,4.4,1555.0,9.0,Non Fiction,29,5,1,0,7.349873704738337,low,normal
from crook to cook platinum recipes from tha boss doggs kitchen snoop dogg cookbook celebrity cookbook with soul food recipes snoop dog x chronicle books,snoop dogg,2022,"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Recipes) (Snoop Dog x Chronicle Books)",Snoop Dogg,4.8,23735.0,13.0,Non Fiction,160,25,1,0,10.074748161970657,high,high
frozen little golden book,rh disney,2014,Frozen (Little Golden Book),RH Disney,4.7,3642.0,0.0,Fiction,27,4,0,0,8.200562797008564,low,high
game change obama and the clintons mccain and palin and the race of a lifetime,john heilemann,2010,"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215.0,9.0,Non Fiction,81,15,1,0,7.103322062526113,low,normal
game of thrones boxed set a game of thronesa clash of kingsa storm of swordsa feast for crows,george rr martin,2011,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594.0,5.0,Fiction,97,18,1,0,8.629628620746026,low,high
game of thrones boxed set a game of thronesa clash of kingsa storm of swordsa feast for crows,george rr martin,2012,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594.0,5.0,Fiction,97,18,1,0,8.629628620746026,low,high
game of thrones boxed set a game of thronesa clash of kingsa storm of swordsa feast for crows,george rr martin,2013,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594.0,5.0,Fiction,97,18,1,0,8.629628620746026,low,high
george washingtons sacred fire,peter a lillback,2010,George Washington's Sacred Fire,Peter A. Lillback,4.5,408.0,20.0,Non Fiction,31,4,0,0,6.013715156042802,low,normal
george washingtons secret six the spy ring that saved the american revolution,brian kilmeade,2013,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799.0,16.0,Non Fiction,79,12,1,0,8.476371196895983,low,high
get out of your head stopping the spiral of toxic thoughts,jennie allen,2020,Get Out of Your Head: Stopping the Spiral of Toxic Thoughts,Jennie Allen,4.7,19558.0,14.0,Non Fiction,59,11,1,0,9.881190817537517,middle,high
giraffes cant dance,giles andreae,2015,Giraffes Can't Dance,Giles Andreae,4.8,14038.0,4.0,Fiction,20,3,0,0,9.549594449971952,middle,high
giraffes cant dance,giles andreae,2016,Giraffes Can't Dance,Giles Andreae,4.8,14038.0,4.0,Fiction,20,3,0,0,9.549594449971952,middle,high
giraffes cant dance,giles andreae,2017,Giraffes Can't Dance,Giles Andreae,4.8,14038.0,4.0,Fiction,20,3,0,0,9.549594449971952,middle,high
giraffes cant dance,giles andreae,2018,Giraffes Can't Dance,Giles Andreae,4.8,14038.0,4.0,Fiction,20,3,0,0,9.549594449971952,middle,high
giraffes cant dance,giles andreae,2019,Giraffes Can't Dance,Giles Andreae,4.8,14038.0,4.0,Fiction,20,3,0,0,9.549594449971952,middle,high
giraffes cant dance,giles andreae,2020,Giraffes Can't Dance,Giles Andreae,4.8,27722.0,6.0,Fiction,20,3,0,0,10.23001767255615,high,high
girl stop apologizing a shamefree plan for embracing and achieving your goals,rachel hollis,2019,"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals",Rachel Hollis,4.6,7660.0,12.0,Non Fiction,80,12,1,0,8.94389780251682,middle,high
girl wash your face stop believing the lies about who you are so you can become who you were meant to be,rachel hollis,2018,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288.0,12.0,Non Fiction,106,22,1,0,10.011848562206193,high,high
girl wash your face stop believing the lies about who you are so you can become who you were meant to be,rachel hollis,2019,"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,4.6,22288.0,12.0,Non Fiction,106,22,1,0,10.011848562206193,high,high
glenn becks common sense the case against an outofcontrol government inspired by thomas paine,glenn beck,2009,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,1365.0,11.0,Non Fiction,98,14,1,0,7.2196420401307355,low,high
go set a watchman a novel,harper lee,2015,Go Set a Watchman: A Novel,Harper Lee,3.6,14982.0,19.0,Fiction,26,6,1,0,9.614671504043145,middle,normal
go tell the bees that i am gone a novel outlander,diana gabaldon,2021,Go Tell the Bees That I Am Gone: A Novel (Outlander),Diana Gabaldon,4.7,35580.0,20.0,Fiction,52,11,1,0,10.479567066502216,high,high
go the fk to sleep,adam mansbach,2011,Go the F**k to Sleep,Adam Mansbach,4.8,9568.0,9.0,Fiction,20,5,0,0,9.166283985779263,middle,high
going rogue an american life,sarah palin,2009,Going Rogue: An American Life,Sarah Palin,4.6,1636.0,6.0,Non Fiction,29,5,1,0,7.400620577371135,low,high
gone girl,gillian flynn,2012,Gone Girl,Gillian Flynn,4.0,57271.0,10.0,Fiction,9,2,0,0,10.955567127076021,high,normal
gone girl,gillian flynn,2013,Gone Girl,Gillian Flynn,4.0,57271.0,10.0,Fiction,9,2,0,0,10.955567127076021,high,normal
gone girl,gillian flynn,2014,Gone Girl,Gillian Flynn,4.0,57271.0,9.0,Fiction,9,2,0,0,10.955567127076021,high,normal
good days start with gratitude a 52 week guide to cultivate an attitude of gratitude gratitude journal,pretty simple press,2019,Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal,Pretty Simple Press,4.6,10141.0,6.0,Non Fiction,104,17,1,1,9.224440496354964,middle,high
